Attack Type,FGSM_IoU,FGSM_F1,PGD_IoU,PGD_F1,BIM_IoU,BIM_F1,MIM_IoU,MIM_F1,DIM_IoU,DIM_F1
Unet-EFFB7,"0.7304,0.7025,0.3287,0.0033,0.0000","0.8442,0.8253,0.4929,0.0067,0.0000","0.7340,0.6530,0.4969,0.0120,0.0000","0.8466,0.7901,0.6639,0.0237,0.0000","0.7345,0.6698,0.4165,0.0009,0.0008","0.8469,0.8023,0.5881,0.0017,0.0017","0.7345,0.6701,0.4158,0.0008,0.0009","0.8469,0.8025,0.5874,0.0017,0.0018","0.7345,0.7204,0.3189,0.0037,0.0178","0.8469,0.8375,0.4836,0.0037,0.0178"
Unet++-EFFB7,"0.7545,0.7461,0.4375,0.0000,0.0008","0.8601,0.8546,0.6087,0.0000,0.0016","0.7428,0.7168,0.5745,0.0000,0.0000","0.8524,0.8350,0.7297,0.0000,0.0000","0.7445,0.7236,0.5024,0.0000,0.0000","0.8536,0.8396,0.6688,0.0000,0.0000","0.7445,0.7234,0.5027,0.0000,0.0000","0.8536,0.8395,0.6691,0.0000,0.0000","0.7465,0.7300,0.5231,0.0000,0.0000","0.8548,0.8439,0.6869,0.0000,0.0000"
Unet-ResNet101,"0.7518,0.7340,0.4698,0.0000,0.0109","0.8583,0.8466,0.6393,0.0000,0.0216","0.7489,0.7238,0.6271,0.0000,0.0000","0.8564,0.8398,0.7708,0.0000,0.0000","0.7489,0.7231,0.6561,0.0000,0.0000","0.8564,0.8393,0.7924,0.0000,0.0000","0.7489,0.7231,0.6561,0.0000,0.0000","0.8564,0.8393,0.7924,0.0000,0.0000","0.7489,0.7392,0.6744,0.0000,0.0000","0.8564,0.8500,0.8055,0.0000,0.0000"
Unet-VGG,"0.6206,0.5140,0.2712,0.0000,0.0000","0.7659,0.6790,0.4267,0.0000,0.0000","0.6198,0.5176,0.2640,0.0000,0.0000","0.7653,0.6821,0.4178,0.0000,0.0000","0.6197,0.5182,0.2796,0.0000,0.0000","0.7652,0.6826,0.4370,0.0000,0.0000","0.6197,0.5182,0.2796,0.0000,0.0000","0.7652,0.6826,0.4370,0.0000,0.0000","0.6197,0.5791,0.3272,0.0000,0.0000","0.7652,0.7335,0.4930,0.0000,0.0000"
Segformer-b512,"0.7137,0.7012,0.6317,0.3847,0.2647","0.8207,0.8111,0.7533,0.4539,0.2913","0.7077,0.6936,0.6308,0.4106,0.4050","0.8162,0.8051,0.7526,0.4855,0.4736","0.7072,0.6936,0.6366,0.3875,0.3912","0.8157,0.8051,0.7572,0.4607,0.4618","0.7058,0.6964,0.6020,0.3031,0.3256","0.8150,0.8077,0.7239,0.3592,0.3986","0.7054,0.6966,0.6184,0.3435,0.3763","0.8147,0.8074,0.7409,0.4141,0.4739"
